"V1" "V2"
"1" -120.747430719132 51.7519773577551
"2" -109.549990190768 51.0733445984603
"3" -100.388447940288 51.7519773577551
"4" -85.7978436154496 48.6981299409285
"5" -80.0294651614437 44.965649764807
"6" -74.6004030870852 47.6801808019863
"7" -68.1533918737845 50.7340282188129
"8" -66.4568099755475 44.965649764807
"9" -69.1713410127267 40.5545368293908
"10" -79.0115160225015 31.3929945789109
"11" -80.3687815410911 25.9639325045524
"12" -84.4405780968599 25.9639325045524
"13" -88.5123746526288 27.9998307824368
"14" -100.049131560641 27.9998307824368
"15" -110.56793932971 30.7143618196161
"16" -114.300419505832 31.7323109585583
"17" -120.747430719132 33.7682092364427
"18" -122.444012617369 39.875904070096
"19" -123.801278135959 42.9297514869226
"20" -123.801278135959 48.3588135612811
